tag	file	line	法人番号	会社名
unit_million	1.csv	117	5060005001586	医療法人薫会
unit_million	108.csv	36		名興発條株式会社
unit_million	108.csv	80		有限会社一光工業
unit_million	108.csv	88		三峯株式会社
unit_million	108.csv	101		株式会社ティーエムシー
unit_million	108.csv	146		旭金属株式会社
unit_million	108.csv	149		株式会社メグラス
unit_million	108.csv	168		草川工業株式会社
unit_million	108.csv	193		エベレスト工業株式会社
unit_million	108.csv	249		株式会社キムラ美芸
unit_million	108.csv	252		安部製菓株式会社
unit_million	108.csv	284		株式会社丸小本店
unit_million	108.csv	318		株式会社アオキーズ・コーポレーション
unit_million	108.csv	345		杉友商事株式会社
unit_million	108.csv	443		株式会社パッコム
unit_million	108.csv	459		岡重機産業有限会社
unit_million	108.csv	460		テイーダ株式会社
unit_million	108.csv	461		株式会社テラサワ
unit_million	108.csv	518		松栄製鋲株式会社
unit_million	108.csv	519		株式会社やまうち製作所
unit_million	108.csv	571		キムラガステム株式会社
unit_million	108.csv	602		株式会社在田商店
unit_million	108.csv	607		株式会社センサスヤマモト
unit_million	108.csv	645		千代田合成株式会社
unit_million	108.csv	674		株式会社丸茂
unit_million	108.csv	685		株式会社伊藤精密工具製作所
unit_million	108.csv	687		株式会社金星商会
unit_million	108.csv	706		新光酸商株式会社
unit_million	108.csv	722		株式会社シミズ
unit_million	108.csv	736		株式会社角田製作所
unit_million	108.csv	746		株式会社林組
unit_million	108.csv	761		株式会社浅野製作所
unit_million	108.csv	803		株式会社早川モータース
unit_million	108.csv	823		株式会社エイコーテック
unit_million	108.csv	874		株式会社安藤建商
unit_million	108.csv	876		竹内浴槽株式会社
unit_million	108.csv	919		株式会社マツミ
unit_million	108.csv	920		株式会社堀商店
unit_million	108.csv	942		株式会社タニグチ商店
unit_million	108.csv	971		松紅園株式会社
unit_million	108.csv	973		松山業務店株式会社
unit_million	108.csv	988		株式会社久保田商店
unit_million	108.csv	999		トラストエンジニアリング株式会社
unit_million	108.csv	1008		伊藤防災株式会社
unit_million	108.csv	1016		有限会社沢和
unit_million	108.csv	1018		山鶴株式会社
unit_million	108.csv	1019		株式会社DAIEI
unit_million	108.csv	1022		有限会社ハヤケン
unit_million	108.csv	1039		三和食品工業株式会社
unit_million	108.csv	1060		斎藤建設株式会社
unit_million	108.csv	1062		株式会社伊藤商会
unit_million	108.csv	1090		創輝建設株式会社
unit_million	108.csv	1091		江洲産商株式会社
unit_million	108.csv	1100		株式会社タカツ
unit_million	108.csv	1107		シンワ空調サービス株式会社
unit_million	108.csv	1125		有限会社菊地運輸
unit_million	108.csv	1126		株式会社岩田電気
unit_million	108.csv	1137		名和建装株式会社
unit_million	108.csv	1145		株式会社愛知商店
unit_million	108.csv	1147		株式会社近江屋精肉店
unit_million	108.csv	1152		鳴海精機有限会社
unit_million	108.csv	1163		葵建設株式会社
unit_million	108.csv	1167		恒川建設株式会社
unit_million	108.csv	1170		八原建設株式会社
unit_million	108.csv	1173		万越株式会社
unit_million	108.csv	1197		鈴木電気工事株式会社
unit_million	108.csv	1270		株式会社村井
unit_million	108.csv	1278		清友建設株式会社
unit_million	108.csv	1294		加藤商事株式会社
unit_million	108.csv	1311		誠産業株式会社
unit_million	108.csv	1319		株式会社モルフ
unit_million	108.csv	1325		株式会社コンクニ
unit_million	108.csv	1344		株式会社味画
unit_million	108.csv	1374		株式会社アイアンホームズ
unit_million	108.csv	1417		株式会社仏壇の大野屋
unit_million	108.csv	1418		株式会社セイアイプランニング
unit_million	108.csv	1430		東海紙工株式会社
unit_million	108.csv	1450		株式会社ワイエムティー
unit_million	108.csv	1453		株式会社ヒューマンテーブル
unit_million	108.csv	1465		株式会社ワイマーケット
unit_million	108.csv	1514		株式会社ワイズ
unit_million	108.csv	1545		株式会社豊和
unit_million	108.csv	1565		船橋株式会社
unit_million	108.csv	1585		株式会社横井業務店
unit_million	108.csv	1599		株式会社渡辺商店
unit_million	108.csv	1605		三洋電設株式会社
unit_million	108.csv	1612		株式会社ユタカ
unit_million	108.csv	1613		中島紙工株式会社
unit_million	108.csv	1618		有限会社竹内工務店
unit_million	108.csv	1631		株式会社鳥居商店
unit_million	108.csv	1637		株式会社愛洋産業
unit_million	108.csv	1647		株式会社日森
unit_million	108.csv	1649		江口株式会社
unit_million	108.csv	1730		丹建株式会社
unit_million	108.csv	1760		株式会社隆陽社
unit_million	108.csv	1763		株式会社東利
unit_million	108.csv	1766		株式会社中村
unit_million	108.csv	1780		有限会社エイコウホーム
unit_million	108.csv	1807		株式会社米甚
unit_million	108.csv	1820		朝日株式会社
unit_million	108.csv	1841		小島建設株式会社
unit_million	108.csv	1847		有限会社若宮商事
unit_million	108.csv	1885		唐橋塗装株式会社
unit_million	108.csv	1902		三裕産業株式会社
unit_million	108.csv	1935		有限会社わかくさ
unit_million	108.csv	1942		株式会社マツザワ瓦店
unit_million	108.csv	1945		有限会社セイブトレーディング
unit_million	108.csv	1971		株式会社支留比亜コーポレーション
unit_million	108.csv	1987		株式会社シバタ
unit_million	108.csv	2027		丸久運輸株式会社
unit_million	108.csv	2119		岡崎リサイクルセンター株式会社
unit_million	108.csv	2126		株式会社睦自動車
unit_million	108.csv	2181		株式会社ハヤシ鋳造所
unit_million	108.csv	2237		有限会社木村合成
unit_million	108.csv	2285		株式会社岩瀬工務店
unit_million	108.csv	2398		永井撚糸合資会社
unit_million	108.csv	2399		株式会社南山園
unit_million	108.csv	2443		武師建設株式会社
unit_million	108.csv	2458		有限会社松和メンテナンス
unit_million	108.csv	2461		株式会社細井設計
unit_million	108.csv	2478		株式会社山豊工建
unit_million	108.csv	2482		株式会社東海分析化学研究所
unit_million	108.csv	2508		株式会社タカミインダストリー
unit_million	108.csv	2540		そぶえ産業株式会社
unit_million	108.csv	2546		株式会社晴電舎
unit_million	108.csv	2555		株式会社エイリン
unit_million	108.csv	2558		株式会社鈴瀧
unit_million	108.csv	2559		株式会社夏目組
unit_million	108.csv	2597		有限会社加藤自動車
unit_million	108.csv	2601		名成コンクリート株式会社
unit_million	108.csv	2606		株式会社ジョイフル設備
unit_million	108.csv	2619		株式会社サンセルフ
unit_million	108.csv	2693		株式会社深谷工務所
