file	会社名	count	lines
1.csv	医療法人信和会	2	[6, 1440]
1.csv	医療法人真心会	2	[8, 1846]
1.csv	医療法人秀和会	3	[12, 560, 929]
1.csv	医療法人優心	2	[15, 131]
1.csv	医療法人海風	2	[20, 655]
1.csv	医療法人葵	2	[34, 67]
1.csv	医療法人和会	6	[35, 98, 120, 203, 331, 572]
1.csv	医療法人旭会	2	[39, 132]
1.csv	医療法人桂会	2	[41, 189]
1.csv	医療法人緑会	5	[42, 45, 337, 346, 700]
1.csv	医療法人茜会	5	[43, 166, 397, 420, 2219]
1.csv	医療法人望会	2	[47, 1619]
1.csv	医療法人恵会	7	[52, 99, 171, 215, 283, 444, 1737]
1.csv	医療法人大地	2	[53, 375]
1.csv	医療法人泉会	6	[58, 115, 266, 362, 844, 1634]
1.csv	医療法人希会	4	[65, 84, 2229, 2816]
1.csv	医療法人雅会	13	[66, 278, 297, 313, 332, 1038, 1735, 1936, 1964, 2354, 2427, 2790, 2825]
1.csv	医療法人葵会	8	[68, 83, 213, 246, 300, 306, 416, 2225]
1.csv	医療法人真会	3	[70, 329, 1736]
1.csv	医療法人裕和	2	[72, 248]
1.csv	医療法人彩	2	[77, 714]
1.csv	医療法人橘会	5	[80, 136, 147, 265, 417]
1.csv	医療法人欅会	4	[82, 387, 480, 1554]
1.csv	医療法人輝	5	[94, 201, 361, 2448, 2658]
1.csv	医療法人聖会	2	[97, 442]
1.csv	医療法人樹会	10	[102, 103, 183, 232, 257, 304, 383, 428, 445, 2812]
1.csv	医療法人睦会	7	[104, 107, 238, 312, 1106, 1152, 1462]
1.csv	医療法人暁会	4	[105, 144, 418, 2421]
1.csv	医療法人楠会	5	[111, 324, 340, 469, 1421]
1.csv	医療法人薫会	2	[117, 185]
1.csv	医療法人轟会	2	[124, 1109]
1.csv	医療法人一会	4	[125, 295, 749, 2590]
1.csv	医療法人心晴	2	[134, 1360]
1.csv	医療法人曙会	2	[140, 175]
1.csv	医療法人昴会	3	[142, 379, 1577]
1.csv	医療法人幸和	2	[150, 2563]
1.csv	医療法人大和	2	[152, 516]
1.csv	医療法人未来	3	[156, 219, 359]
1.csv	医療法人紫陽	2	[161, 364]
1.csv	医療法人和	5	[162, 227, 302, 414, 2319]
1.csv	医療法人碧会	4	[168, 268, 1686, 2759]
1.csv	医療法人杏会	3	[169, 385, 446]
1.csv	医療法人U	2	[173, 2414]
1.csv	医療法人桜会	6	[176, 336, 365, 422, 1586, 2744]
1.csv	医療法人隼会	2	[179, 263]
1.csv	医療法人桜	2	[186, 1085]
1.csv	医療法人結	4	[188, 259, 382, 2623]
1.csv	医療法人秀和	2	[190, 449]
1.csv	医療法人要会	2	[193, 1797]
1.csv	医療法人希	3	[195, 1742, 2591]
1.csv	医療法人梓会	2	[204, 366]
1.csv	医療法人魁	2	[208, 1698]
1.csv	医療法人優	2	[212, 2733]
1.csv	医療法人櫻会	3	[222, 284, 360]
1.csv	医療法人春風	4	[226, 309, 731, 2819]
1.csv	医療法人椿会	3	[233, 237, 440]
1.csv	医療法人善	2	[240, 293]
1.csv	医療法人エフ	2	[254, 271]
1.csv	医療法人幸	2	[255, 401]
1.csv	医療法人大樹	2	[264, 339]
1.csv	医療法人紬	2	[274, 1260]
1.csv	医療法人英会	4	[303, 318, 341, 408]
1.csv	医療法人寿会	2	[308, 426]
1.csv	医療法人英	2	[316, 2815]
1.csv	医療法人愛	2	[317, 415]
1.csv	医療法人敬	2	[386, 1444]
1.csv	医療法人エム	2	[395, 2826]
1.csv	医療法人健会	2	[405, 1793]
1.csv	医療法人KC	2	[451, 2813]
1.csv	医療法人KDC	2	[459, 2730]
1.csv	医療法人秀友会	2	[461, 1192]
1.csv	医療法人健誠会	2	[472, 2615]
1.csv	医療法人恵泉会	3	[491, 1960, 2326]
1.csv	医療法人心和会	2	[493, 1245]
1.csv	医療法人再生会	2	[494, 771]
1.csv	医療法人TDC	3	[501, 2549, 2741]
