line	会社ID	リストID	法人番号	会社名	状態	AD
11	18040	166054780	3180001003527	株式会社学参	未送信	未契約
45	86927	166054814	5260001000514	株式会社インテックス	未送信	未契約
80	151093	166054849	9370201003269	株式会社ヨシムラ	未送信	未契約
157	304077	166054926	5090001010316	株式会社ピカ	未送信	未契約
158	304173	166054927	9090001008496	株式会社文理学院	未送信	未契約
167	341084	166054936	1160001006327	富士ウェーブ株式会社	未送信	未契約
185	372535	166054954	7020001010196	株式会社太陽エンタープライズ	未送信	未契約
195	401947	166054964	5010801026378	株式会社ビーリンク	未送信	未契約
197	403311	166054966	2020002003501	未松商事有限会社	未送信	未契約
199	406319	166054968	8020001077359	MDI株式会社	未送信	未契約
212	444175	166054981	1080001015583	やよい産業株式会社	未送信	未契約
235	485299	166055004	2040001055244	平田工業株式会社	未送信	未契約
249	514363	166055018	1040001049040	株式会社ケンテック	未送信	未契約
251	519317	166055020	3120001084878	株式会社ディンプル	未送信	未契約
290	594689	166055059	9122001022390	株式会社コモン・ウェルス	未送信	未契約
291	595853	166055060	3120901027589	株式会社Blueprint	未送信	未契約
300	601011	166055069	3100001001901	株式会社たちばな	未送信	未契約
351	687628	166055120	3010401051051	レイ株式会社	未送信	未契約
361	690319	166055130	4010401107190	株式会社ベンチャーリパブリック	未送信	未契約
369	693030	166055138	7011101074223	株式会社スパイスマート	未送信	未契約
457	710651	166055226	9010401095530	株式会社ストレチア	未送信	未契約
548	733921	166055317	5010401072079	三井住友ファイナンス&リース株式会社	未送信	未契約
560	736483	166055329	5010001066051	セントスタッフ株式会社	未送信	未契約
596	747044	166055365	4011101082303	スターティア株式会社	未送信	未契約
604	748148	166055373	5011102023503	株式会社ジーニー	未送信	未契約
611	749770	166055380	9011001127376	株式会社NEXTTECHNOLOGY	未送信	未契約
618	751637	166055387	1011001072274	株式会社山和	未送信	未契約
663	761789	166055432	6010001195725	株式会社BLDRealEstate	未送信	未契約
679	765897	166055448	7010401120959	株式会社COMP	未送信	未契約
682	766166	166055451	1011001117178	株式会社デジタルアイデンティティ	未送信	未契約
693	770337	166055462	2011101021287	柳生商事株式会社	未送信	未契約
738	786232	166055507	9013301000097	株式会社アイ・シー・エイ	未送信	未契約
746	791668	166055515	2010701016580	MRIバリューコンサルティング・アンド・ソリューションズ株式会社	未送信	未契約
759	801958	166055528	5011601000515	一建設株式会社	未送信	未契約
765	806049	166055534	5010601006919	吉田建材株式会社	未送信	未契約
792	840856	166055561	5230001008469	川田工業株式会社	未送信	未契約
847	923945	166055616	7140001104523	株式会社ワールドインベストメントネットワーク	未送信	未契約
867	962821	166055636	6430001027844	グリーンエキスプレス株式会社	未送信	未契約
869	962939	166055638	3430002045146	有限会社北洋	未送信	未契約
