folder	file	line	flags	法人番号	会社名
unit_million	1.csv	53	hq_postal_malformed	3430005001468	医療法人大地
unit_million	1.csv	55	hq_postal_malformed	2020005006419	医療法人桂台
unit_million	1.csv	158	hq_postal_malformed	9070005005013	医療法人岸会
unit_million	1.csv	201	hq_postal_malformed	9180305004950	医療法人輝
unit_million	1.csv	419	hq_postal_malformed	2020005002772	医療法人聖愛
unit_million	1.csv	908	hq_postal_malformed	2030005020377	医療法人七彩
unit_million	1.csv	1424	hq_postal_malformed	6340005009419	医療法人寿
unit_million	1.csv	2103	hq_postal_malformed	7180005019929	医療法人津島
unit_million	1.csv	2628	hq_postal_malformed	3400005008391	医療法人千花
unit_million	10_20251224.csv	742	hq_postal_malformed	5120001086344	南海ビルサービス株式会社
unit_million	10_20251224.csv	872	hq_postal_malformed;rep_postal_malformed	1120101041137	株式会社アド・ダイセン
unit_million	10_20251224.csv	1082	hq_postal_malformed	3010401161890	株式会社レッグス
unit_million	10_20251224.csv	1418	hq_postal_malformed	1010601027134	帝都自動車交通株式会社
unit_million	10_20251224.csv	1508	hq_postal_malformed	7010001048535	株式会社創通
unit_million	10_20251224.csv	1977	hq_postal_malformed	4140001019022	ジャパンウェイスト株式会社
unit_million	10_20251224.csv	2236	hq_postal_malformed	4080401018803	ATCホールディングス株式会社
unit_million	10_20251224.csv	2273	hq_postal_malformed	8010001210515	メディフォード株式会社
unit_million	111.fixed.csv	2	corporate_number_invalid_shape	9.18E+12	丹羽興業株式会社
unit_million	111.fixed.csv	3	corporate_number_invalid_shape	9.18E+12	株式会社やぶやグループ
unit_million	111.fixed.csv	4	corporate_number_invalid_shape	8.18E+12	藤吉工業株式会社
unit_million	111.fixed.csv	5	corporate_number_invalid_shape	7.05E+12	株式会社スミカ
unit_million	111.fixed.csv	6	corporate_number_invalid_shape	8.05E+12	株式会社アクツ
unit_million	111.fixed.csv	7	corporate_number_invalid_shape	6.05E+12	株式会社石原木材
unit_million	111.fixed.csv	8	corporate_number_invalid_shape	9.05E+12	株式会社三友
unit_million	111.fixed.csv	9	corporate_number_invalid_shape	5.05E+12	有限会社間宮プレス
unit_million	111.fixed.csv	10	corporate_number_invalid_shape	9.05E+12	株式会社月川観光バス
unit_million	111.fixed.csv	11	corporate_number_invalid_shape	1.05E+12	ソフトイーサ株式会社
unit_million	111.fixed.csv	12	corporate_number_invalid_shape	9.05E+12	株式会社ゴーフォトン
unit_million	111.fixed.csv	13	corporate_number_invalid_shape	1.05E+12	有限会社スカイテック
unit_million	111.fixed.csv	14	corporate_number_invalid_shape	4.05E+12	株式会社タートル工業
unit_million	111.fixed.csv	15	corporate_number_invalid_shape	7.05E+12	中川理水建設株式会社
unit_million	111.fixed.csv	16	corporate_number_invalid_shape	4.05E+12	株式会社アクアプラントテック
unit_million	111.fixed.csv	17	corporate_number_invalid_shape	5.05E+12	泰明電設株式会社
unit_million	111.fixed.csv	18	corporate_number_invalid_shape	1.05E+12	株式会社イバト
unit_million	111.fixed.csv	19	corporate_number_invalid_shape	1.04E+12	志村工業株式会社
unit_million	111.fixed.csv	20	corporate_number_invalid_shape	3.05E+12	有限会社旭自動車商会
unit_million	111.fixed.csv	21	corporate_number_invalid_shape	5.05E+12	日立工油株式会社
unit_million	111.fixed.csv	22	corporate_number_invalid_shape	2.05E+12	エキスパート株式会社
unit_million	111.fixed.csv	23	corporate_number_invalid_shape	9.05E+12	株式会社創建社
unit_million	111.fixed.csv	24	corporate_number_invalid_shape	1.05E+12	塚本工業株式会社
unit_million	111.fixed.csv	25	corporate_number_invalid_shape	2.05E+12	株式会社ユーゴー
unit_million	111.fixed.csv	26	corporate_number_invalid_shape	3.05E+12	株式会社アンフィニ
unit_million	111.fixed.csv	27	corporate_number_invalid_shape	3.05E+12	株式会社いっしん
unit_million	111.fixed.csv	28	corporate_number_invalid_shape	6.05E+12	株式会社かわねや
unit_million	111.fixed.csv	29	corporate_number_invalid_shape	1.05E+12	原子力エンジニアリング株式会社
unit_million	111.fixed.csv	30	corporate_number_invalid_shape	9.05E+12	株式会社アドサポート
unit_million	111.fixed.csv	31	corporate_number_invalid_shape	3.05E+12	株式会社マルタツ
unit_million	111.fixed.csv	32	corporate_number_invalid_shape	3.05E+12	株式会社三友製作所
unit_million	111.fixed.csv	33	corporate_number_invalid_shape	4.05E+12	株式会社稲村技研
unit_million	111.fixed.csv	34	corporate_number_invalid_shape	6.05E+12	株式会社谷藤水産
unit_million	111.fixed.csv	35	corporate_number_invalid_shape	3.05E+12	フォージテックカワベ株式会社
unit_million	111.fixed.csv	36	corporate_number_invalid_shape	4.05E+12	美野里運送倉庫株式会社
unit_million	111.fixed.csv	37	corporate_number_invalid_shape	1.05E+12	株式会社飯塚電機工業
unit_million	111.fixed.csv	38	corporate_number_invalid_shape	7.05E+12	株式会社倉川製作所
