folder	file	line	reasons	hq_postal	rep_postal	hq_addr_snip	rep_addr_snip	法人番号	会社名
unit_million	1.csv	34	hq_rep_postal_same_addr_diff	366-0035	366-0035	埼玉県深谷市原郷５００番地	埼玉県深谷市原郷５０５－２	8030005016551	医療法人葵
unit_million	1.csv	36	hq_rep_postal_same_addr_diff	870-1155	870-1155	大分県大分市大字玉沢字四月田７８番地	大分県大分市大字玉沢９０２－３	8320005009311	医療法人永冨
unit_million	1.csv	38	hq_rep_postal_same_addr_diff	875-0022	875-0022	大分県臼杵市大字末広９３８番地３	大分県臼杵市末広９３８－４	7320205000062	医療法人末広
unit_million	1.csv	42	hq_rep_postal_same_addr_diff	772-0002	772-0002	徳島県鳴門市撫養町斎田字北浜９９番地	徳島県鳴門市撫養町斎田字北浜９７番地	3480005003609	医療法人緑会
unit_million	1.csv	46	hq_rep_postal_same_addr_diff	780-0870	780-0870	高知県高知市本町３丁目６番２８号	高知県高知市本町３－６－２８	3490005000704	医療法人南会
unit_million	1.csv	50	hq_rep_postal_same_addr_diff	511-0836	511-0836	三重県桑名市大字江場１３６５番地	三重県桑名市江場１３８０－１	5190005007744	医療法人誠会
unit_million	1.csv	57	hq_rep_postal_same_addr_diff	478-0053	478-0053	愛知県知多市清水が丘１丁目１８０１番地	愛知県知多市清水が丘１ー１８０１	2180005012590	医療法人沙羅
unit_million	1.csv	60	hq_rep_postal_same_addr_diff	305-0056	305-0056	茨城県つくば市松野木１６２番地７	茨城県つくば市松野木１６２－９	3050005010953	医療法人櫻坂
unit_million	1.csv	71	hq_rep_postal_same_addr_diff	464-0039	464-0039	愛知県名古屋市千種区日和町１丁目３番２０号	愛知県名古屋市千種区日和町１－３－２０	9180005016453	医療法人亀井
unit_million	1.csv	77	hq_rep_postal_same_addr_diff	336-0911	336-0911	埼玉県さいたま市緑区大字三室字西宿１２０９番地１０	埼玉県さいたま市緑区三室７０６－３１	8030005018960	医療法人彩
unit_million	1.csv	82	hq_rep_postal_same_addr_diff	452-0034	452-0034	愛知県清須市西枇杷島町日の出４６番地	愛知県清須市西枇杷島町日の出４６	3180005004678	医療法人欅会
unit_million	1.csv	92	hq_rep_postal_same_addr_diff	861-0135	861-0135	熊本県熊本市北区植木町一木５９７番地	熊本県熊本市北区植木町一木６１０－７	4330005003589	医療法人かぜ
unit_million	1.csv	102	hq_rep_postal_same_addr_diff	840-2221	840-2221	佐賀県佐賀市東与賀町大字下古賀字二本杉１０７０番９	佐賀県佐賀市東与賀町下古賀二本杉１０７０	7300005006740	医療法人樹会
unit_million	1.csv	117	hq_rep_all_identical_long	329-1207	329-1207	栃木県塩谷郡高根沢町大字花岡２３５１番地	栃木県塩谷郡高根沢町大字花岡２３５１番地	5060005001586	医療法人薫会
unit_million	1.csv	120	hq_rep_postal_same_addr_diff	740-0012	740-0012	山口県岩国市元町４丁目５番１０号	山口県岩国市元町４－５－１０	9250005005993	医療法人和会
unit_million	1.csv	121	hq_rep_postal_same_addr_diff	811-4234	811-4234	福岡県遠賀郡岡垣町大字高倉６７７番地の１	福岡県遠賀郡岡垣町高倉６７７－１	3290805004651	医療法人朱夏
unit_million	1.csv	132	hq_rep_postal_same_addr_diff	641-0021	641-0021	和歌山県和歌山市和歌浦東３丁目２番３８号	和歌山県和歌山市和歌浦東３－２－４８	4170005001072	医療法人旭会
unit_million	1.csv	134	hq_rep_postal_same_addr_diff	895-2701	895-2701	鹿児島県伊佐市菱刈前目７９０番地１	鹿児島県伊佐市菱刈前目７９０－１	6340005002737	医療法人心晴
unit_million	1.csv	144	hq_rep_postal_same_addr_diff	396-0026	396-0026	長野県伊那市西町４９０６番地	長野県伊那市西町４９０６	9100005008854	医療法人暁会
unit_million	1.csv	156	hq_rep_postal_same_addr_diff	252-0244	252-0244	神奈川県相模原市中央区田名１９５３番地	神奈川県相模原市中央区田名１９５３	7021005002535	医療法人未来
unit_million	1.csv	165	hq_rep_postal_same_addr_diff	492-8181	492-8181	愛知県稲沢市日下部北町４丁目４３番地１	愛知県稲沢市日下部北町４－４３－１	4180005010543	医療法人悠美
unit_million	1.csv	181	hq_rep_postal_same_addr_diff	227-0043	227-0043	神奈川県横浜市青葉区藤が丘２丁目６番地１	神奈川県横浜市青葉区藤が丘２－６－１	5020005009451	医療法人うふ
unit_million	1.csv	186	hq_rep_postal_same_addr_diff	457-0005	457-0005	愛知県名古屋市南区桜台２丁目１８番３２号	愛知県名古屋市南区桜台２－１８－３２	2180005006915	医療法人桜
unit_million	1.csv	213	hq_rep_postal_same_addr_diff	596-0044	596-0044	大阪府岸和田市西之内町３９番４４号	大阪府岸和田市西之内町５７－１３	4120105006190	医療法人葵会
unit_million	1.csv	230	hq_rep_postal_same_addr_diff	875-0041	875-0041	大分県臼杵市大字臼杵７２番地の１６５	大分県臼杵市臼杵７２－１６５	7320205000054	医療法人柊会
unit_million	1.csv	241	hq_rep_postal_same_addr_diff	690-0835	690-0835	島根県松江市西尾町１３番地１	島根県松江市西尾町１３－１	4280005001111	医療法人若草
unit_million	1.csv	242	hq_rep_postal_same_addr_diff	918-8105	918-8105	福井県福井市木田２丁目１６１３番地	福井県福井市木田１－２１０９－２	1210005005261	医療法人悠紘
unit_million	1.csv	292	hq_rep_postal_same_addr_diff	803-0836	803-0836	福岡県北九州市小倉北区中井５丁目１１番８号	福岡県北九州市小倉北区中井５－１２－７	8290805000010	医療法人錦会
unit_million	1.csv	294	hq_rep_postal_same_addr_diff	324-0058	324-0058	栃木県大田原市紫塚３丁目２６３３番地１２	栃木県大田原市紫塚３－２６３３－１０	6060005004571	医療法人大那
unit_million	1.csv	297	hq_rep_postal_same_addr_diff	519-2156	519-2156	三重県多気郡多気町西池上寺尻１２９７番１	三重県多気郡多気町西池上５５７	4190005006615	医療法人雅会
unit_million	1.csv	318	hq_rep_postal_same_addr_diff	441-3617	441-3617	愛知県田原市福江町下地４１番地	愛知県田原市福江町下地４１	2180305003380	医療法人英会
unit_million	1.csv	330	hq_rep_postal_same_addr_diff	829-0311	829-0311	福岡県築上郡築上町大字湊３３６番地	福岡県築上郡築上町湊３３６	2290805008117	医療法人湊会
unit_million	1.csv	331	hq_rep_postal_same_addr_diff	610-0121	610-0121	京都府城陽市寺田高田５５番地の２	京都府城陽市寺田高田５５－２	9130005012531	医療法人和会
unit_million	1.csv	386	hq_rep_postal_same_addr_diff	475-0071	475-0071	愛知県半田市大伝根町１丁目５番地の１８	愛知県半田市大伝根町１－５－１	3180005011690	医療法人敬
unit_million	1.csv	572	hq_rep_postal_same_addr_diff	594-1106	594-1106	大阪府和泉市はつが野２丁目３番４号	大阪府和泉市はつが野２－３－４	5120105007964	医療法人和会
unit_million	108.csv	36	hq_rep_all_identical_long	460-0021	460-0021	愛知県名古屋市中区平和１－８－１０	愛知県名古屋市中区平和１－８－１０		名興発條株式会社
unit_million	108.csv	67	hq_rep_postal_same_addr_diff	454-0052	454-0052	愛知県名古屋市中川区花塚町２－６９	愛知県名古屋市中川区花塚町１－２		株式会社花塚
unit_million	108.csv	68	hq_rep_postal_same_addr_diff	460-0008	460-0008	愛知県名古屋市中区栄５－２５－２８	愛知県名古屋市中区栄５－１３－１０第４５オーシャンハイツ		尾畑長硝子株式会社
unit_million	108.csv	80	hq_rep_all_identical_long	453-0022	453-0022	愛知県名古屋市中村区中島町３－３	愛知県名古屋市中村区中島町３－３		有限会社一光工業
unit_million	108.csv	88	hq_rep_all_identical_long	457-0863	457-0863	愛知県名古屋市南区豊３－８－１２	愛知県名古屋市南区豊３－８－１２		三峯株式会社
unit_million	108.csv	101	hq_rep_all_identical_long	467-0043	467-0043	愛知県名古屋市瑞穂区岳見町５－２１－３	愛知県名古屋市瑞穂区岳見町５－２１－３		株式会社ティーエムシー
unit_million	108.csv	146	hq_rep_all_identical_long	453-0012	453-0012	愛知県名古屋市中村区井深町４－６２	愛知県名古屋市中村区井深町４－６２		旭金属株式会社
unit_million	108.csv	149	hq_rep_all_identical_long	461-0004	461-0004	愛知県名古屋市東区葵３－１４－３	愛知県名古屋市東区葵３－１４－３		株式会社メグラス
unit_million	108.csv	168	hq_rep_all_identical_long	462-0024	462-0024	愛知県名古屋市北区鳩岡２－１－４	愛知県名古屋市北区鳩岡２－１－４		草川工業株式会社
unit_million	108.csv	193	hq_rep_all_identical_long	453-0066	453-0066	愛知県名古屋市中村区稲上町３－５２	愛知県名古屋市中村区稲上町３－５２		エベレスト工業株式会社
unit_million	108.csv	222	hq_rep_postal_same_addr_diff	498-0043	498-0043	愛知県弥富市寛延４－３１	愛知県弥富市寛延３－６－２		株式会社富田鋳工所
unit_million	108.csv	242	hq_rep_postal_same_addr_diff	454-0869	454-0869	愛知県名古屋市中川区荒子５－３６－１	愛知県名古屋市中川区荒子５－３６		吉田麺業有限会社
unit_million	108.csv	249	hq_rep_all_identical_long	453-0053	453-0053	愛知県名古屋市中村区中村町楠４５	愛知県名古屋市中村区中村町楠４５		株式会社キムラ美芸
unit_million	108.csv	250	hq_rep_postal_same_addr_diff	457-0063	457-0063	愛知県名古屋市南区阿原町３９	愛知県名古屋市南区阿原町４２－１		有限会社名南機械製作所
unit_million	108.csv	252	hq_rep_all_identical_long	451-0051	451-0051	愛知県名古屋市西区則武新町２－２－１９	愛知県名古屋市西区則武新町２－２－１９		安部製菓株式会社
unit_million	108.csv	255	hq_rep_postal_same_addr_diff	466-0822	466-0822	愛知県名古屋市昭和区楽園町１１８－２１	愛知県名古屋市昭和区楽園町１１８番地の２１		有限会社猫嫁在宅福祉総合サポートセンターひだまり
unit_million	108.csv	284	hq_rep_all_identical_long	460-0005	460-0005	愛知県名古屋市中区東桜２－１８－２４	愛知県名古屋市中区東桜２－１８－２４		株式会社丸小本店
unit_million	108.csv	291	hq_rep_postal_same_addr_diff	455-0066	455-0066	愛知県名古屋市港区寛政町４－２１	愛知県名古屋市港区寛政町５－１２		正保鉄工株式会社
unit_million	108.csv	318	hq_rep_all_identical_long	453-0014	453-0014	愛知県名古屋市中村区則武１－８－３	愛知県名古屋市中村区則武１－８－３		株式会社アオキーズ・コーポレーション
unit_million	108.csv	339	hq_rep_postal_same_addr_diff	460-0025	460-0025	愛知県名古屋市中区古渡町１５－３０	愛知県名古屋市中区古渡町９－１９		株式会社志知
unit_million	108.csv	345	hq_rep_all_identical_long	468-0015	468-0015	愛知県名古屋市天白区原１－２００６	愛知県名古屋市天白区原１－２００６		杉友商事株式会社
unit_million	108.csv	347	hq_rep_postal_same_addr_diff	451-0064	451-0064	愛知県名古屋市西区名西１－１５－２	愛知県名古屋市西区名西１－２１－１		共親製菓株式会社
unit_million	108.csv	360	hq_rep_postal_same_addr_diff	454-0831	454-0831	愛知県名古屋市中川区三ツ屋町１－２０１７	愛知県名古屋市中川区三ツ屋町１－４７		伊藤鋳工株式会社
unit_million	108.csv	373	hq_rep_postal_same_addr_diff	462-0035	462-0035	愛知県名古屋市北区大野町４－６	愛知県名古屋市北区大野町３－５－３		株式会社三和産業
unit_million	108.csv	375	hq_rep_postal_same_addr_diff	454-0922	454-0922	愛知県名古屋市中川区荒中町１９８番地	愛知県名古屋市中川区荒中町２００－３		株式会社カーグリーコマゼン
unit_million	108.csv	376	hq_rep_postal_same_addr_diff	453-0828	453-0828	愛知県名古屋市中村区中村本町１－１０６	愛知県名古屋市中村区中村本町２－５３		岩田紙器株式会社
unit_million	108.csv	391	hq_rep_postal_same_addr_diff	454-0981	454-0981	愛知県名古屋市中川区吉津５－８１７	愛知県名古屋市中川区吉津２－２１２２		株式会社富士工芸社
unit_million	108.csv	392	hq_rep_postal_same_addr_diff	451-0082	451-0082	愛知県名古屋市西区大金町５丁目１６番地の１	愛知県名古屋市西区大金町５－１６－１		株式会社東和食品
unit_million	108.csv	397	hq_rep_postal_same_addr_diff	453-0825	453-0825	愛知県名古屋市中村区沖田町４１３	愛知県名古屋市中村区沖田町４１２		株式会社ワタナベ
unit_million	108.csv	421	hq_rep_postal_same_addr_diff	455-0801	455-0801	愛知県名古屋市港区小碓２－８２	愛知県名古屋市港区小碓２ー７８－２		三金螺子工業株式会社
unit_million	108.csv	443	hq_rep_all_identical_long	460-0012	460-0012	愛知県名古屋市中区千代田３－３０－２０	愛知県名古屋市中区千代田３－３０－２０		株式会社パッコム
unit_million	108.csv	445	hq_rep_postal_same_addr_diff	460-0008	460-0008	愛知県名古屋市中区栄１－３１－３５	愛知県名古屋市中区栄１－１８－１サンライズハイツ		株式会社丸忠商店
unit_million	108.csv	457	hq_rep_postal_same_addr_diff	454-0843	454-0843	愛知県名古屋市中川区大畑町２丁目３０番地	愛知県名古屋市中川区大畑町２－８５		株式会社大洋堂
unit_million	108.csv	459	hq_rep_all_identical_long	453-0065	453-0065	愛知県名古屋市中村区靖国町１－６－１	愛知県名古屋市中村区靖国町１－６－１		岡重機産業有限会社
unit_million	108.csv	460	hq_rep_all_identical_long	453-0058	453-0058	愛知県名古屋市中村区城屋敷町３－３４	愛知県名古屋市中村区城屋敷町３－３４		テイーダ株式会社
unit_million	108.csv	461	hq_rep_all_identical_long	457-0048	457-0048	愛知県名古屋市南区大磯通５－１２	愛知県名古屋市南区大磯通５－１２		株式会社テラサワ
unit_million	108.csv	471	hq_rep_postal_same_addr_diff	467-0845	467-0845	愛知県名古屋市瑞穂区河岸１－９－７	愛知県名古屋市瑞穂区河岸１－９－３		株式会社穂波
unit_million	108.csv	472	hq_rep_postal_same_addr_diff	467-0047	467-0047	愛知県名古屋市瑞穂区日向町２丁目１３番地	愛知県名古屋市瑞穂区日向町２－１３		アイギ工業株式会社
unit_million	108.csv	518	hq_rep_all_identical_long	454-0043	454-0043	愛知県名古屋市中川区牛立町２－７７	愛知県名古屋市中川区牛立町２－７７		松栄製鋲株式会社
unit_million	108.csv	519	hq_rep_all_identical_long	453-0053	453-0053	愛知県名古屋市中村区中村町７－５０	愛知県名古屋市中村区中村町７－５０		株式会社やまうち製作所
unit_million	108.csv	541	hq_rep_postal_same_addr_diff	453-0839	453-0839	愛知県名古屋市中村区長筬町７－６５－１	愛知県名古屋市中村区長筬町３－４６－１		ニシカワヤ株式会社
unit_million	108.csv	561	hq_rep_postal_same_addr_diff	455-0831	455-0831	愛知県名古屋市港区十一屋２－１３５	愛知県名古屋市港区十一屋１－１７－２		株式会社松山商店
unit_million	108.csv	566	hq_rep_postal_same_addr_diff	467-0012	467-0012	愛知県名古屋市瑞穂区豊岡通１－１４	愛知県名古屋市瑞穂区豊岡通２－７５－２		壽化工機株式会社
unit_million	108.csv	571	hq_rep_all_identical_long	462-0845	462-0845	愛知県名古屋市北区柳原１－２４－１２	愛知県名古屋市北区柳原１－２４－１２		キムラガステム株式会社
unit_million	108.csv	572	hq_rep_postal_same_addr_diff	464-0821	464-0821	愛知県名古屋市千種区末盛通１－３１－７アンソレイエ覚王山６０３	愛知県名古屋市千種区末盛通１ー３１－７アンソレイエ覚王山１１０４		K&AJPN株式会社
unit_million	108.csv	585	hq_rep_postal_same_addr_diff	467-0853	467-0853	愛知県名古屋市瑞穂区内浜町２２－２６	愛知県名古屋市瑞穂区内浜町２２－２４		イハラ鋼業株式会社
unit_million	108.csv	602	hq_rep_all_identical_long	460-0007	460-0007	愛知県名古屋市中区新栄２－１５－５	愛知県名古屋市中区新栄２－１５－５		株式会社在田商店
unit_million	108.csv	607	hq_rep_all_identical_long	456-0054	456-0054	愛知県名古屋市熱田区千年１－１４－１	愛知県名古屋市熱田区千年１－１４－１		株式会社センサスヤマモト
unit_million	108.csv	639	hq_rep_postal_same_addr_diff	459-8016	459-8016	愛知県名古屋市緑区南大高３丁目１３０６番地	愛知県名古屋市緑区南大高２－５０２ライオンズプレイズ南大高１１０３号		株式会社ファーマスター
unit_million	108.csv	642	hq_rep_postal_same_addr_diff	461-0014	461-0014	愛知県名古屋市東区橦木町３－５１	愛知県名古屋市東区橦木町３－３６ジェネラス橦木町３０４		株式会社パッケージスクエア
unit_million	108.csv	645	hq_rep_all_identical_long	467-0824	467-0824	愛知県名古屋市瑞穂区甲山町２－１２	愛知県名古屋市瑞穂区甲山町２－１２		千代田合成株式会社
unit_million	108.csv	654	hq_rep_postal_same_addr_diff	454-0855	454-0855	愛知県名古屋市中川区昭明町３－４３	愛知県名古屋市中川区昭明町３－４５－１		株式会社アサノ食品
unit_million	108.csv	674	hq_rep_all_identical_long	454-0049	454-0049	愛知県名古屋市中川区清川町１－１－１４	愛知県名古屋市中川区清川町１－１－１４		株式会社丸茂
unit_million	108.csv	685	hq_rep_all_identical_long	454-0024	454-0024	愛知県名古屋市中川区柳島町４－１０	愛知県名古屋市中川区柳島町４－１０		株式会社伊藤精密工具製作所
unit_million	108.csv	687	hq_rep_all_identical_long	456-0021	456-0021	愛知県名古屋市熱田区夜寒町１－１	愛知県名古屋市熱田区夜寒町１－１		株式会社金星商会
unit_million	108.csv	706	hq_rep_all_identical_long	456-0014	456-0014	愛知県名古屋市熱田区中田町２－２６	愛知県名古屋市熱田区中田町２－２６		新光酸商株式会社
unit_million	108.csv	722	hq_rep_all_identical_long	457-0824	457-0824	愛知県名古屋市南区神松町３－５－６	愛知県名古屋市南区神松町３－５－６		株式会社シミズ
unit_million	108.csv	736	hq_rep_all_identical_long	454-0036	454-0036	愛知県名古屋市中川区二女子町６－１５	愛知県名古屋市中川区二女子町６－１５		株式会社角田製作所
unit_million	108.csv	737	hq_rep_postal_same_addr_diff	463-0044	463-0044	愛知県名古屋市守山区太田井１０－７成和フエルトビル	愛知県名古屋市守山区太田井１０－７		成和フエルト株式会社
unit_million	108.csv	744	hq_rep_postal_same_addr_diff	105-0021	105-0021	東京都港区東新橋２－１６－１ルーシスビル９Ｆ	東京都港区東新橋１－１０－２ー３６０７		東和ハイテック株式会社
unit_million	108.csv	746	hq_rep_all_identical_long	462-0844	462-0844	愛知県名古屋市北区清水５－１８－５	愛知県名古屋市北区清水５－１８－５		株式会社林組
unit_million	108.csv	761	hq_rep_all_identical_long	460-0024	460-0024	愛知県名古屋市中区正木３－６－２５	愛知県名古屋市中区正木３－６－２５		株式会社浅野製作所
unit_million	108.csv	771	hq_rep_postal_same_addr_diff	474-0053	474-0053	愛知県大府市柊山町８－５３－２	愛知県大府市柊山町７－３８－３		株式会社クオーレ
unit_million	108.csv	789	hq_rep_postal_same_addr_diff	451-0025	451-0025	愛知県名古屋市西区上名古屋４－１８－１９	愛知県名古屋市西区上名古屋１－８－１０		株式会社カジウラ
