folder	file	line	仕入れ先_snip	法人番号
unit_million	108.csv	2504	トウチュウ（４０％），山川産業，三河珪石，大浜燃料	
unit_million	111.fixed.csv	1466	森永酪農販売（１００％）	8.13E+12
unit_million	111.fixed.csv	2398	高進（２０％），コクヨ（１５％），プラス（１０％），その他（５５％）	5.07E+12
unit_million	14.csv	230	日野セールスサポート（７０％），日産京都北販売（２０％），福正小松販売（１０％）	6130002034606
unit_million	16.csv	1011	日野セールスサポート（７０％），日産京都北販売（２０％），福正小松販売（１０％）	6130002034606
unit_million	16.csv	1103	吉田産業（２０％），七戸クリエート	1420001011614
unit_million	16.csv	1486	ジューテック（７０％），デンヒチ（２０％），パナソニックリビング（１０％）	6290801028783
unit_million	17_20251224.csv	1465	雲南市・飯南町事務組合（６０％），奥出雲町（１０％）	3280001007526
unit_million	17_20251224.csv	1610	天草みらいコンクリート（１００％）	1330001020384
unit_million	17_20251224.csv	2242	栄石油（１００％）	5010701039777
unit_million	18.csv	1155	和牛繁殖農家（１００％）	5460101006309
unit_million	18.csv	1252	双葉企画（９５％），龍野コルク工業（１％），関西紙工（０．７％）	7140001103632
unit_million	18.csv	1297	アイセイ薬局（３０％），ＰＩＡ（３０％），Ｅｎ（３０％），アリババ（１０％）	1011001122566
unit_million	2.csv	186	日本キャタピラー合同会社（１０％），コマツカスタマーサポート，アマノ，広島資材，八重垣建設，山陽工営	7240001011511
unit_million	2.csv	902	日本ジッコウ（５０％），三重重工業（２０％），レント（１０％），アクティオ（１０％），ツダ（１０％）	5150001021629
unit_million	21.csv	682	清掃業者（１０％）	5430001023118
unit_million	28.csv	129	和牛繁殖農家（１００％）	5460101006309
unit_million	32.csv	569	ネットワーク・ウィング（１０％），ディジインターナショナル，ワイ・デー・ケー，平河ヒューテック，長野日本無線	6011101032776
unit_million	32.csv	979	アマゾン（３％），楽天（１％），Ｙａｈｏｏ（１％）	9140001111492
unit_million	5_20251224.csv	78	ジャペル（１００％）	4180001053538
unit_million	6.csv	443	ネットワーク・ウィング（１０％），ディジインターナショナル，ワイ・デー・ケー，平河ヒューテック，長野日本無線	6011101032776
unit_million	7.csv	3	国内メーカー（７０％），中国委託工場（１５％），中国メーカー（１０％），米国メーカー（５％）	2180002045924
unit_million	7.csv	1458	双葉企画（９５％），龍野コルク工業（１％），関西紙工（０．７％）	7140001103632
unit_million	7.csv	1524	アイセイ薬局（３０％），ＰＩＡ（３０％），Ｅｎ（３０％），アリババ（１０％）	1011001122566
unit_million	7.csv	1813	メディセオ（４０％），ケーエスケー（２０％），アルフレッサ（１５％），スズケン（１５％），東和薬品（５％）	8130001068223
unit_million	7.csv	2011	深川養鶏農業（４０％），ラックフーズ（４０％）	1250002010731
unit_million	8.csv	506	イトー医科器械（２０％），サンコーメディカル（２０％），サンメディックス（２０％）	6010501026933
unit_million	8.csv	942	ＡＤＯＲＮＩＳｒＬ（４０％），その他（６０％）	3011301023173
unit_yen	29.csv	955	清掃業者（１０％）	5430001023118
unit_yen	29.csv	1006	日野セールスサポート（７０％），日産京都北販売（２０％），福正小松販売（１０％）	6130002034606
unit_yen	30.csv	416	グーグル合同会社（７０％），ＬＩＮＥヤフー（２０％），その他（１０％）	1010801029582
