file_rel	cat1_column_count_mismatch	cat1_shift_heuristic	cat2_date_anomaly	cat3_dup_header_file	cat3_ift_j_nonempty_rows	cat3_addr_anomaly	cat3_fin_unit_note	cat3_shareholder_gap	cat5_dup_name_hits
unit_million/1.csv	0	1	0	0	0	35	0	0	526
unit_million/108.csv	0	0	6	0	0	4615	0	42	40846
unit_million/10_20251224.csv	0	0	0	0	0	31	0	0	551
unit_million/11.csv	0	0	0	0	0	129	0	0	719
unit_million/111.fixed.csv	0	5003	3	0	0	671	0	6	5003
unit_million/118.csv	0	0	0	0	0	86	0	0	846
unit_million/12.csv	0	0	0	0	0	40	0	0	292
unit_million/12_20251224.csv	0	3	0	0	0	6	0	0	2716
unit_million/14.csv	0	0	0	0	0	27	0	1	254
unit_million/16.csv	0	0	0	0	0	270	0	3	1083
unit_million/17.csv	0	0	0	0	0	152	0	0	1104
unit_million/17_20251224.csv	0	0	0	0	0	68	0	3	264
unit_million/18.csv	0	0	0	0	0	249	0	3	1121
unit_million/18_20251224.csv	0	0	0	0	0	32	0	0	561
unit_million/1_20251224.csv	0	0	0	0	0	40	0	0	548
unit_million/2.csv	0	0	0	0	0	188	0	2	336
unit_million/21.csv	0	0	0	0	0	109	0	1	738
unit_million/22.csv	0	0	0	0	0	1	0	0	20
unit_million/25.csv	0	0	0	0	0	63	0	0	505
unit_million/28.csv	0	0	0	0	0	52	0	1	159
unit_million/2_20251224.csv	0	0	0	0	0	39	0	0	673
unit_million/3.csv	0	0	0	0	0	0	0	0	329
unit_million/32.csv	0	1	1	0	0	131	0	2	990
unit_million/3_20251224.csv	0	0	0	0	0	53	0	0	367
unit_million/4.csv	0	0	0	0	0	172	0	0	526
unit_million/4_20251224.csv	0	0	0	0	0	33	0	0	533
unit_million/5_20251224.csv	0	1	1	0	0	79	0	1	571
unit_million/6.csv	0	1	0	0	0	89	0	1	852
unit_million/6_20251224.csv	0	3	0	0	0	6	0	0	2716
unit_million/7.csv	0	0	0	0	0	288	0	5	1394
unit_million/7_20251224.csv	0	0	0	0	0	58	0	0	803
unit_million/8.csv	0	0	0	0	0	164	0	2	991
unit_million/8_20251224.csv	0	1	1	0	0	38	0	0	716
unit_million/9.csv	0	0	0	0	0	154	0	0	1226
unit_million/9_20251224.csv	0	0	0	0	0	35	0	0	712
unit_million/import_firstTime_1.csv	0	0	3797	0	1828	0	0	0	1968
unit_million/import_firstTime_10.csv	0	0	0	0	300	0	0	0	300
unit_million/import_firstTime_100.csv	0	0	0	1	172	0	0	0	150
unit_million/import_firstTime_101.csv	0	0	1	0	13235	0	0	0	5645
unit_million/import_firstTime_102.csv	0	0	3	1	13503	0	0	0	6738
unit_million/import_firstTime_103.csv	0	0	7832	0	3197	0	0	0	4865
unit_million/import_firstTime_106.csv	0	0	7395	0	1477	0	0	0	5684
unit_million/import_firstTime_107.csv	0	0	78540	0	40846	0	0	0	40797
unit_million/import_firstTime_108.csv	0	0	6	0	40846	0	0	0	40717
unit_million/import_firstTime_11.csv	0	0	0	0	218	0	0	0	296
unit_million/import_firstTime_110.csv	0	0	1	0	5003	0	0	0	4982
unit_million/import_firstTime_111.csv	0	0	5	0	5003	0	0	0	4985
unit_million/import_firstTime_112.csv	0	0	0	0	5003	0	0	0	4981
unit_million/import_firstTime_113.csv	0	0	0	0	5003	0	0	0	4980
unit_million/import_firstTime_114.csv	0	0	1	0	5003	0	0	0	4977
unit_million/import_firstTime_115.csv	0	0	0	0	5003	0	0	0	4983
unit_million/import_firstTime_116.csv	0	0	1	0	5003	0	0	0	4979
unit_million/import_firstTime_117.csv	0	0	1	0	5003	0	0	0	4891
unit_million/import_firstTime_118.csv	0	0	0	0	823	0	0	0	822
unit_million/import_firstTime_119.csv	0	0	3	0	11917	0	0	0	11823
unit_million/import_firstTime_12.csv	0	0	0	0	300	0	0	0	297
unit_million/import_firstTime_120.csv	0	0	2	0	1989	0	0	0	1979
unit_million/import_firstTime_121.csv	0	0	0	0	1998	0	0	0	1983
unit_million/import_firstTime_122.csv	0	0	0	0	1967	0	0	0	1977
unit_million/import_firstTime_123.csv	0	0	0	0	2000	0	0	0	1987
unit_million/import_firstTime_125.csv	0	0	1	0	1826	0	0	0	1872
unit_million/import_firstTime_13.csv	0	0	0	0	238	0	0	0	293
unit_million/import_firstTime_133.csv	0	0	0	0	2163	0	0	0	544
unit_million/import_firstTime_134.csv	0	0	0	0	5342	0	0	0	1210
unit_million/import_firstTime_14.csv	0	0	0	0	300	0	0	0	299
unit_million/import_firstTime_15.csv	0	0	0	0	230	0	0	0	293
unit_million/import_firstTime_16.csv	0	0	0	0	299	0	0	0	297
unit_million/import_firstTime_17.csv	0	0	0	0	300	0	0	0	299
unit_million/import_firstTime_18.csv	0	0	0	0	229	0	0	0	293
unit_million/import_firstTime_19.csv	0	0	0	0	300	0	0	0	299
unit_million/import_firstTime_2.csv	0	0	4219	0	1644	0	0	0	2559
unit_million/import_firstTime_20.csv	0	0	0	0	235	0	0	0	294
unit_million/import_firstTime_21.csv	0	0	0	0	293	0	0	0	298
unit_million/import_firstTime_22.csv	0	0	0	0	272	0	0	0	298
unit_million/import_firstTime_23.csv	0	0	0	1	110	0	0	0	174
unit_million/import_firstTime_24.csv	0	0	0	0	5348	0	0	0	853
unit_million/import_firstTime_25.csv	0	0	0	0	181	0	0	0	288
unit_million/import_firstTime_26.csv	0	0	0	0	35	0	0	0	293
unit_million/import_firstTime_27.csv	0	0	0	0	0	0	0	0	292
unit_million/import_firstTime_28.csv	0	0	0	0	0	0	0	0	296
unit_million/import_firstTime_29.csv	0	0	0	0	0	0	0	0	297
unit_million/import_firstTime_30.csv	0	0	0	0	0	0	0	0	294
unit_million/import_firstTime_31.csv	0	0	0	0	0	0	0	0	298
unit_million/import_firstTime_32.csv	0	0	0	0	0	0	0	0	294
unit_million/import_firstTime_33.csv	0	0	0	0	0	0	0	0	292
unit_million/import_firstTime_34.csv	0	0	0	0	0	0	0	0	297
unit_million/import_firstTime_35.csv	0	0	0	0	1	0	0	0	219
unit_million/import_firstTime_36.csv	0	0	78539	0	40846	0	0	0	40227
unit_million/import_firstTime_39.csv	0	0	0	0	299	0	0	0	300
unit_million/import_firstTime_4.csv	0	0	0	0	1167	0	0	0	1126
unit_million/import_firstTime_41.csv	0	0	3	0	4445	0	0	0	2691
unit_million/import_firstTime_42.csv	0	0	9590	0	5003	0	0	0	4912
unit_million/import_firstTime_43.csv	0	0	9626	0	5003	0	0	0	4907
unit_million/import_firstTime_44.csv	0	0	9652	0	5003	0	0	0	4905
unit_million/import_firstTime_45.csv	0	0	9543	0	5003	0	0	0	4924
unit_million/import_firstTime_46.csv	0	0	9551	0	5003	0	0	0	4908
